"author","max(views)"
Erik Hersman,494000
María Neira,493000
Sheila Nirenberg,492000
Alwar Balasubramaniam,491000
Riché D. Richardson,490000
Asher Hasan,488000
Jesse Schell,487000
Brian Christian,486000
Matt Walker,485000
Melanie E. Peffer,484000
Anthony Veneziale,483000
Christopher E. Gaw,482000
Brendan Constantine,481000
Susan Graham,480000
Nadya Mason,478000
Smruti Jukur Johari,477000
Hawa Abdi + Deqo Mohamed,476000
Sheila Marie Orfano and Densho,475000
Pekka Hämäläinen,474000
Noelle Martin,471000
Helen Gillet,470000
Tom Thum and Matthew Broadhurst,469000
Claron McFadden,467000
Alex Rosenthal,465000
Rebecca J. Barthelmie and Sara C. Pryor,464000
Lucas C. Majure,463000
Wendy De La Rosa,462000
Patrick Lencioni,461000
Janet Iwasa,460000
Yana Buhrer Tavanier,459000
Nigel Hughes,458000
Ted Dintersmith,457000
Dan Kwartler,456000
Gay Gordon-Byrne,455000
Cameron Sinclair,454000
Dyan deNapoli,453000
Matt Walker,452000
Greg Lynn,451000
Claire Simeone,450000
Inge Missmahl,449000
Alex Rosenthal,447000
Jim Hudspeth,446000
Peter Beck,445000
Jen Gunter,444000
Daniel Lismore,443000
Karin Öberg,442000
Alex Rosenthal,441000
Rose Eveleth,440000
Jarreth Merz,438000
William Shakespeare,437000
Jeff Leek and Lucy McGowan,436000
Bruno Bowden + Rufus Cappadocia,435000
Emma Schachner,434000
Virginia Postrel,433000
Peggy McIntosh,431000
James K. Thornton,427000
Michelle Mehrtens,426000
Jean-Baptiste P. Koehl,425000
Alex Rosenthal,424000
Audrey Tang,423000
Rosamund Adoo-Kissi-Debrah,422000
Alex Rosenthal,419000
Lalitesh Katragadda,418000
Beau Lotto and Cirque du Soleil,415000
Helen Farr and Jon Adams,414000
Kristina Gjerde,413000
Martin Reeves,412000
Emily Zobel Marshall,411000
Philip Renaud and Kenneth Kostel,410000
Lisa Janae Bacon,408000
Alayna Vaughan,406000
Julia Watson,405000
Ozawa Bineshi Albert,404000
Chiara Decaroli,403000
Enric Sala,402000
Briana Brownell,400000
Ioannis Papachimonas,398000
Srdja Popovic,397000
Tal Danino,396000
Ken Goldberg,395000
Iseult Gillespie,393000
Emily Levesque,392000
Jiabao Li,391000
Peter Haas,389000
Susan M. Reverby,388000
Jon Gray,387000
Lynn Rothschild,386000
Daniel J. Watts,385000
Cella Wright,384000
Klaus Stadlmann,383000
Douglas Thomas,382000
Camilo Ramirez,381000
Wendy De La Rosa,380000
Thulasiraj Ravilla,379000
John Delaney,377000
 TED-Ed,376000
Evan Zodl,375000
Alice Pailhès,374000
 TED-Ed,372000
Robert Thurman,371000
Heidi Larson,369000
Matt Walker,368000
Daniel Sperling and Gil Tal,367000
Iseult Gillespie,364000
Elizabeth Cox,363000
Sandra Fisher-Martins,361000
Martin Reeves,360000
Diane J. Savino,359000
Ilan Stavans,358000
Matt Walker,357000
Mona Chalabi,355000
Rabbi Lord Jonathan Sacks,354000
Daina Ramey Berry,352000
David L. Hu,351000
Andri Snær Magnason,350000
Mark Lytle,348000
Bart Knols,347000
Christopher C. Deam,346000
Angel Hsu,345000
Meg Jacobs,344000
Sonia Shah,343000
Matt Porter and Margaret Hamilton,342000
Joia Mukherjee,341000
Jodie Houlston-Lau,340000
Esther Choo,339000
Patrice Gordon,338000
Philip Lubin,337000
A.J. Jacobs,336000
Karen DeSalvo,333000
Diego Prilusky,332000
"Al Roker, Al Gore, David Biello and Latif Nasser",331000
Moriba Jah,330000
Jon Boogz and Lil Buck,328000
Sarah Sze,327000
Ellen Agler,326000
Adam Garske,325000
Thomas Pogge,324000
Alex Rosenthal,322000
Raphael Rose,321000
Rokia Traore,319000
Michael McDaniel,318000
Jer Thorp,317000
Lucy Cooke,316000
Matt Walker,315000
Qiuqing Tai,314000
Hélène Morlon and Anna Papadopoulou,313000
Boy Girl Banjo,312000
Matt Walker,311000
Mona Chalabi,310000
Jen Gunter,309000
John Maeda,308000
Angela Oguntala,306000
Olivia Arthur,304000
Stephen Wilkes,303000
Anne Basting,302000
Wendy De La Rosa,301000
Jennifer Petriglieri,300000
Diane J. Rayor,298000
Michael Green,297000
Matt Walker,295000
Judith Jamison and members of the Alvin Ailey American Dance Theater,294000
Elyse Cox,293000
Cheryl Holder,291000
Amy Hrdina and Jesse Kroll,290000
Darien Satterfield,289000
Mona Chalabi,286000
Mani Vajipey,284000
Alex Rosenthal,283000
Emily Dickinson,282000
Sougwen Chung,281000
Jo Michael Rezes,280000
Thandiswa Mazwai,279000
Artūrs Miksons,278000
Mona Chalabi,277000
Mona Chalabi,276000
Matteo Fadel,275000
Dan Sayers,273000
Pedro Brugarolas,270000
Countdown,269000
Elif Shafak,267000
Jacques S. Abramowicz,266000
Shekinah Elmore,264000
Ashraf Ghani,263000
David Puts,262000
Arunabha Ghosh,261000
"Xiye Bastida, Shiv Soin and Latif Nasser",260000
Nirupa Rao,259000
Marko Russiver,258000
Madame Gandhi and Amber Galloway-Gallego,257000
Countdown,256000
Andrea Gibson,255000
Sir Ken Robinson,254000
Muthoni Drummer Queen,253000
Wendy De La Rosa,252000
Gayathri Vasudevan,251000
Chase LaDue and Bruce A. Schulte,249000
David Birch,248000
Darren Walker,247000
Hyunsoo Joshua No,245000
Marcelo Mena,243000
Asali DeVan Ecclesiastes,242000
Elizabeth Diller,240000
Paul MacCready,239000
Sxip Shirey + Rachelle Garniez,238000
Mona Chalabi,237000
Aaron Maniam,235000
Tashka and Laura Yawanawá,234000
Wendy De La Rosa,233000
Tito Deler,231000
Michelle Greene,229000
Mariana Mazzucato,228000
Mona Chalabi,227000
Charly Haversat,226000
Emma Lazarus,225000
Will Cathcart,224000
Kevin Toolis,222000
Chibeze Ezekiel,221000
Peter Bohacek,220000
Jamil Zaki,219000
Micah Eames,218000
Markus Lorenz,216000
Sydney Iaukea,214000
Richard Browning,213000
Kristen Bell + Giant Ant,212000
Ocean Ramsey,211000
Dr. Matt J. Carlson,210000
Orisanmi Burton,208000
The Soul Rebels,206000
Children of Palau,205000
Leor Weinberger,204000
Anne Pasternak,203000
Daniel Molina,201000
Nkosilathi Nyathi,200000
Michelle Borkin,198000
Achim Steiner,197000
Lindiwe Mazibuko,196000
Leslie Dodson,194000
Debbie Millman,192000
Honor Harger,190000
Mark Raymond,189000
Nate Garvis,188000
Gokul Upadhyayula,187000
Kristen Bell + Giant Ant,186000
Yasmin Hurd,185000
Andrew Youn,183000
Cristin O'Keefe Aptowicz,182000
Ralph Nader,181000
Rashad Robinson,180000
Olafur Eliasson,179000
Dr. Phillip Atiba Goff,177000
Lyra McKee,176000
Riitta Ikonen and Karoline Hjorth,173000
Jeff Dekofsky,170000
June Tangney,169000
Jacy Reese Anthis,165000
Kristen Bell + Giant Ant,162000
Matt Weinstein,161000
Uma Adwani,159000
Jesper Brodin and Pia Heidenmark Cook,157000
Keiichiro Hirano,156000
Mona Chalabi,154000
Natalie Fee,152000
Madhumita Murgia,150000
Amanda Gorman,146000
Joseph Shin,145000
Katherine Lucas,140000
Nikki Sanchez,139000
Charlene Li,137000
Katie McGinty,134000
Nora Flanagan,133000
The Hartford,132000
Diana Dosik,131000
Lucas Raspall,130000
Anthony D. Romero,128000
Beth Ann Fennelly,127000
Jordyn Wieber,126000
Keith Lowe,125000
Juan Pablo Sáez Gil,123000
Tim Birkhead,122000
Andrew Peek,120000
Julia Espinosa,118000
Hayley Yeates,116000
Charles Hazlewood + British Paraorchestra,115000
TED,113000
Patty McCord,111000
Ronald Murray,110000
 Sigrid,107000
Prince Royce,106000
Daniel Garrie,104000
Hari Nef,103000
Jessica Oreck and Rachael Teel,102000
Madison McFerrin,101000
His Holiness Pope Francis,99000
Lei Li,97000
Tim Dunn,96000
Nir Eyal,95000
Harrison Scott Key,94000
Tony Salvador,93000
Pardis Parker,90000
Tanmay Bakshi,89000
Ian Kerner,87000
Nicola Sturgeon,85000
John Bolton,84000
Irene Mora,83000
Dr. Turi King,82000
Esther Ndichu,81000
Paul Rucker,80000
Indre Viskontas,79000
Hui-wen Sato,78000
Carl Honoré,77000
Yemi Alade,75000
Sana Amanat,74000
Juliana Delgado Lopera,73000
Sarah Dudas,72000
Rosario Perazolo Masjoan,71000
Julia Shaw,69000
Mike Brady and Dion Drew,68000
Maryn McKenna,67000
Erin Meezan,66000
Andrew Arruda,65000
Countdown Summit,62000
G. Willow Wilson,61000
 Beautyrest,60000
Janne Willems,57000
Sakinah Hofler,56000
Javier Olivares,55000
Raye Zaragoza,54000
 Lucius,53000
Chris Fisher,52000
Matthew Shifrin,51000
Luc de Brabandere,50000
Paul Franklin,49000
Elise Payzan-LeNestour,48000
Laura Tenenbaum,47000
Emeli Sandé,46000
Chitra Aiyar,45000
John C. Trimble,44000
Ben Pring,43000
Gina Brillon,42000
Diane Knutson,41000
Patrick Ferrucci,40000
Megan Parker,39000
Caroline Winterer,38000
Ella Al-Shamahi,37000
Dolores Huerta,36000
Kate E. Brandt,35000
Viola Llewellyn,34000
Howard Taylor,33000
Melissa Marquez,32000
Seth Darling,31000
Zac Goldsmith,30000
Phillip Picardi,29000
Countdown Summit,28000
Esther Meduna,27000
Alisa Kazarina,26000
Holley Moyes,25000
Taken for Granted,24000
 Belle and Sebastian,23000
Antionette Carroll,22000
Jinha Lee,21000
Jenny Scheinman with Nels Cline and Todd Sickafoose,20000
Charlie Puth,19000
Stephen Trzeciak,18000
Fay Bound Alberti,17000
JoAnne S. Bass,16000
Rufus Wainwright,15000
Craig Silliman,14000
Gwen Yi Wong,13000
Mariana Lin,12000
American Family Insurance,11000
American Family Insurance,10000
Lara Maiklem,9900
Diego Prilusky,9800
Adam Cutler,9700
Beth Mortimer and Tarje Nissen-Meyer,9600
Martha Redbone,9500
Paul O'Connell,9400
Sierra Hull,9300
Wendell Pierce,9200
Andrew Nemr,9100
Ayanna Howard,9000
Arjan Dwarshuis,8900
Hosted by Al Gore and Jaden Smith,8800
James Ludwig,8700
The TED Interview,8600
Dr. Robert Talisse,8500
"Miao Wang, Alok Sharma and Nigel Topping",8400
Min Kym,8300
Mónica Ramírez,8200
 WOLF,8100
Ane Brun,8000
 Morley,7900
Sarah Klein,7800
Joe von Fischer,7700
Aaron Horowitz,7600
Wendy Woods,7500
Raj Panjabi,7400
Drew Silverstein,7300
Renata di Tullio,7200
Rainn Wilson,7100
Simona Abdallah,7000
Christian Bailey,6900
Robert Prill,6800
Levon Biss,6700
Eleftheria Pissadaki,6600
Denise Zmekhol,6500
Juliane Gallina,6300
"Tyrone Davis, Jr.",6200
 Resistance Revival Chorus,6100
monday.com,6000
Apiorkor Seyiram Ashong-Abbey,5900
Ise Lyfe,5800
Glenn Cantave,5700
Julia Kloiber,5500
Hosted by Prajakta Koli and Hannah Stocking,5400
AKQA and Jung von Matt,5300
Lorie Wigle,5200
Stefaan Verhulst,5100
Maria Popova,5000
Sandrine Dixson-Declève,4900
ELEW and Marcus Miller,4700
Elisabeth Pierre,4600
 Let It Happen,4500
James Keblas,4300
Antonio Muñoz Fernández,4100
Francisca Mutapi,4000
Ahmad M. Hasnah,3900
 Joan As Police Woman,3800
Julie Chang,3700
Frank Müller-Pierstorff,3600
John Kluge Jr.,3500
Lisa-Marie Johnston,3400
Sheku Kanneh-Mason and Isata Kanneh-Mason,3200
Lauren Esposito,3100
 Kimberose,3000
Su Santidad el Papa Francisco,2900
 Flor de Toloache,2800
 The Ferocious Few,2600
Valerie June,2500
Mahendra Singhi,2400
Rowan Fitzpatrick and Heart of Mind,2200
Peggy Chan,2100
Dave Matthews,1600
Qi Wu 吴琪,1500
Far Flung,1300
Far Flung,1200
"",532
